account_id,account_holder_person_id,bank_name,account_number,account_type,opening_date,kyc_status
ACC0001,P0103,Vindhya Urban Bank,37900760959,CURRENT,2025-11-04,VERIFIED
ACC0002,P0101,Sahyadri Cooperative Bank,38560323569,CURRENT,2019-07-12,VERIFIED
ACC0003,P0102,Sahyadri Cooperative Bank,37802652419,SAVINGS,2021-02-18,VERIFIED
ACC0004,P0104,Girnar Small Finance Bank,79164260139,SAVINGS,2026-01-09,MINIMAL-KYC
ACC0005,P0105,Chandrabhaga Bank Ltd,85784199849,SAVINGS,2026-01-22,MINIMAL-KYC
ACC0006,P0106,Narmada National Bank,54153266599,CURRENT,2020-05-30,VERIFIED
ACC0007,P0107,Girnar Small Finance Bank,85259168649,SAVINGS,2022-08-03,VERIFIED
ACC0008,P0101,Vindhya Urban Bank,40837035169,CURRENT,2024-03-15,VERIFIED
ACC0009,P0201,Ratnagiri Commercial Bank,81609832659,CURRENT,2018-06-21,VERIFIED
ACC0010,P0202,Ratnagiri Commercial Bank,53224076509,CURRENT,2015-04-02,VERIFIED
ACC0011,P0203,Vindhya Urban Bank,32959191699,SAVINGS,2022-10-11,VERIFIED
ACC0012,P0204,Girnar Small Finance Bank,63237662399,SAVINGS,2023-01-27,VERIFIED
ACC0013,P0205,Girnar Small Finance Bank,79250129179,SAVINGS,2023-03-19,VERIFIED
ACC0014,P0206,Narmada National Bank,31288871059,CURRENT,2017-09-08,VERIFIED
ACC0015,P0207,Chandrabhaga Bank Ltd,82366998169,SAVINGS,2025-12-01,MINIMAL-KYC
ACC0016,P0202,Narmada National Bank,31376985479,CURRENT,2016-11-23,VERIFIED
ACC0017,P0203,Vindhya Urban Bank,42700062619,CURRENT,2021-07-30,VERIFIED
ACC0018,P0301,Sahyadri Cooperative Bank,87336956549,SAVINGS,2020-08-14,VERIFIED
ACC0019,P0302,Narmada National Bank,67101186619,SAVINGS,2011-02-09,VERIFIED
ACC0020,P0303,Ratnagiri Commercial Bank,72396895399,SAVINGS,2021-06-17,VERIFIED
ACC0021,P0304,Vindhya Urban Bank,54412924789,CURRENT,2019-10-05,VERIFIED
ACC0022,P0305,Chandrabhaga Bank Ltd,71896268879,SAVINGS,2018-12-22,VERIFIED
ACC0023,P0306,Sahyadri Cooperative Bank,55991045359,SAVINGS,2017-05-11,VERIFIED
ACC0024,P0401,Ratnagiri Commercial Bank,70889935489,SAVINGS,2025-08-19,VERIFIED
ACC0025,P0402,Ratnagiri Commercial Bank,71770459539,SAVINGS,2016-08-10,VERIFIED
