call_id,caller_number,receiver_number,timestamp,duration_seconds,cell_tower_id,call_type
CALL-000001,+919000011376,+919000011482,2026-03-02 00:31:29,83,CT-011,voice
CALL-000002,+919000016201,+919000017139,2026-03-02 01:08:24,287,CT-004,voice
CALL-000003,+919000016201,+919000017157,2026-03-02 01:16:12,106,CT-004,voice
CALL-000004,+919000017142,+919000017007,2026-03-02 01:16:45,137,CT-010,voice
CALL-000005,+919000016201,+919000017157,2026-03-02 01:50:56,420,CT-004,voice
CALL-000006,+919000017121,+919000016201,2026-03-02 02:12:52,259,CT-004,voice
CALL-000007,+919000017076,+919000016201,2026-03-02 02:59:19,298,CT-004,voice
CALL-000008,+919000017043,+919000017079,2026-03-02 03:01:47,291,CT-007,voice
CALL-000009,+919000016201,+919000017067,2026-03-02 04:14:23,40,CT-004,voice
CALL-000010,+919000017028,+919000017103,2026-03-02 08:35:36,0,CT-003,sms
CALL-000011,+919000017049,+919000017154,2026-03-02 09:19:25,503,CT-012,voice
CALL-000012,+919000017004,+919000017079,2026-03-02 09:22:13,50,CT-020,voice
CALL-000013,+919000017079,+919000017097,2026-03-02 10:02:00,133,CT-015,voice
CALL-000014,+919000016288,+919000015377,2026-03-02 10:33:25,265,CT-013,voice
CALL-000015,+919000017046,+919000017043,2026-03-02 10:43:23,0,CT-025,sms
CALL-000016,+919000016412,+919000016577,2026-03-02 11:08:19,271,CT-009,voice
CALL-000017,+919000017013,+919000014420,2026-03-02 11:39:56,0,CT-012,sms
CALL-000018,+919000014503,+919000014661,2026-03-02 12:17:39,259,CT-021,voice
CALL-000019,+919000018855,+919000017010,2026-03-02 14:27:48,224,CT-009,voice
CALL-000020,+919000018546,+919000017109,2026-03-02 16:11:05,593,CT-026,voice
CALL-000021,+919000011012,+919000011145,2026-03-02 16:12:13,168,CT-016,voice
CALL-000022,+919000017085,+919000017016,2026-03-02 21:56:31,510,CT-013,voice
CALL-000023,+919000017085,+919000017025,2026-03-02 22:52:40,536,CT-025,voice
CALL-000024,+919000017049,+919000017163,2026-03-02 23:49:01,0,CT-015,sms
CALL-000025,+919000017139,+919000016201,2026-03-03 01:35:50,68,CT-004,voice
CALL-000026,+919000017031,+919000016201,2026-03-03 01:54:42,55,CT-004,voice
CALL-000027,+919000018546,+919000015240,2026-03-03 04:24:32,0,CT-013,sms
CALL-000028,+919000017094,+919000017121,2026-03-03 04:59:15,0,CT-006,sms
CALL-000029,+919000014503,+919000014907,2026-03-03 05:24:56,0,CT-026,sms
CALL-000030,+919000017136,+919000016340,2026-03-03 08:23:56,446,CT-020,voice
CALL-000031,+919000011482,+919000011593,2026-03-03 12:26:22,0,CT-007,sms
CALL-000032,+919000014503,+919000015014,2026-03-03 13:15:51,579,CT-021,voice
CALL-000033,+919000018465,+919000017103,2026-03-03 18:51:40,278,CT-017,voice
CALL-000034,+919000017136,+919000016340,2026-03-03 18:56:42,453,CT-016,voice
CALL-000035,+919000014417,+919000014892,2026-03-03 19:07:00,41,CT-003,voice
CALL-000036,+919000011644,+919000011593,2026-03-03 22:58:43,0,CT-010,sms
CALL-000037,+919000016340,+919000016503,2026-03-04 00:37:20,517,CT-016,voice
CALL-000038,+919000014892,+919000014907,2026-03-04 01:18:57,0,CT-020,sms
CALL-000039,+919000016201,+919000017001,2026-03-04 01:22:56,317,CT-004,voice
CALL-000040,+919000016201,+919000017064,2026-03-04 02:11:53,99,CT-004,voice
CALL-000041,+919000016201,+919000017067,2026-03-04 02:21:10,414,CT-004,voice
CALL-000042,+919000016201,+919000017121,2026-03-04 02:55:58,397,CT-004,voice
CALL-000043,+919000017103,+919000017055,2026-03-04 03:21:53,339,CT-025,voice
CALL-000044,+919000017025,+919000016201,2026-03-04 03:27:41,190,CT-004,voice
CALL-000045,+919000014420,+919000017031,2026-03-04 04:04:21,0,CT-003,sms
CALL-000046,+919000016340,+919000017073,2026-03-04 04:08:33,125,CT-016,voice
CALL-000047,+919000016201,+919000017001,2026-03-04 04:14:41,182,CT-004,voice
CALL-000048,+919000016340,+919000017151,2026-03-04 06:54:28,611,CT-016,voice
CALL-000049,+919000017151,+919000017097,2026-03-04 07:02:21,524,CT-009,voice
CALL-000050,+919000016340,+919000017055,2026-03-04 07:32:08,342,CT-016,voice
CALL-000051,+919000011238,+919000011593,2026-03-04 09:30:29,111,CT-012,voice
CALL-000052,+919000017085,+919000017025,2026-03-04 10:49:26,0,CT-020,sms
CALL-000053,+919000016288,+919000017052,2026-03-04 11:18:00,157,CT-013,voice
CALL-000054,+919000014417,+919000015014,2026-03-04 13:21:16,161,CT-003,voice
CALL-000055,+919000016412,+919000016577,2026-03-04 14:50:01,185,CT-009,voice
CALL-000056,+919000014503,+919000014907,2026-03-04 17:32:05,351,CT-025,voice
CALL-000057,+919000011012,+919000011238,2026-03-04 21:17:57,31,CT-001,voice
CALL-000058,+919000017121,+919000014661,2026-03-04 22:46:23,539,CT-026,voice
CALL-000059,+919000016201,+919000017130,2026-03-04 23:59:26,199,CT-004,voice
CALL-000060,+919000016201,+919000017121,2026-03-05 01:11:23,133,CT-004,voice
CALL-000061,+919000017139,+919000016201,2026-03-05 03:33:10,96,CT-004,voice
CALL-000062,+919000016201,+919000017058,2026-03-05 03:33:32,174,CT-004,voice
CALL-000063,+919000016340,+919000017106,2026-03-05 06:24:00,494,CT-016,voice
CALL-000064,+919000017052,+919000017028,2026-03-05 08:02:40,355,CT-026,voice
CALL-000065,+919000011644,+919000017088,2026-03-05 08:05:49,315,CT-010,voice
CALL-000066,+919000017070,+919000017115,2026-03-05 10:12:56,191,CT-014,voice
CALL-000067,+919000011012,+919000014417,2026-03-05 11:42:00,214,CT-001,voice
CALL-000068,+919000017100,+919000017127,2026-03-05 12:13:21,269,CT-022,voice
CALL-000069,+919000017031,+919000017091,2026-03-05 16:34:29,160,CT-003,voice
