person_id,full_name,aliases,dob,gender,address,id_proof_type,id_proof_number,occupation,known_associates_count,first_seen_case
P0101,Devanshu Kalgutkar,D. Kalgutkar|Devanshu R. Kalgutkar|Deva Kalgutkar,1979-06-14,M,"12, Tilakwadi Commercial Complex, Block C, Nandanvan West",AADHAAR-FICT,9999-1000-2000,Trading company proprietor,6,FIR-2026-0388
P0102,Ritambhara Nagvekar,R. Nagvekar|Ritu Nagvekar,1986-11-02,F,"4/B Sahastradhara Enclave, Vashisht Market Road",PAN-FICT,ZZBPZ9001Z,Accountant,8,FIR-2026-0393
P0103,Amrapali Deshkulkarni,A. Deshkulkarni|Amrapali D.,1991-03-27,F,"Room 9, Chandrakala Niwas, Ganjbasoda Lane",VOTERID-FICT,ZZX7000074,Homemaker (listed company director),8,FIR-2026-0388
P0104,Pravin Attarde,P. Attarde|Praveen Attarde,1993-08-19,M,"H.No. 221, Bhilwara Basti, Sector 4",DL-FICT,MP-FICT-2018-100273,Mobile shop assistant,6,
P0105,Suhail Barkatpuri,S. Barkatpuri|Suhel Barkatpuri,1990-01-30,M,"Flat 12, Ameena Manzil, Chhota Bazaar",AADHAAR-FICT,9999-1028-2052,Travel agent,8,FIR-2026-0401
P0106,Nilesh Wagholikar,N. Wagholikar|Nilesh W.,1988-05-11,M,"7, Wagholikar Wada, Purana Peth",PAN-FICT,ZZFPZ9005Z,Cloth merchant,6,FIR-2026-0401
P0107,Jayendra Mokashi,J. Mokashi|Jayendra M.,1984-09-22,M,"33, Devgiri Colony, Phase 2",VOTERID-FICT,ZZX7000222,Courier / delivery contractor,7,FIR-2026-0393
P0201,Ishaan Talpade,I. Talpade|Ishan Talapade|Ishaan V. Talpade,1982-12-05,M,"201, Girija Heights, Tilakwadi",DL-FICT,MP-FICT-2022-100637,Freight broker,7,FIR-2026-0409
P0202,Bhargav Ronghe,B. Ronghe|Bhargav S. Ronghe,1977-04-08,M,"Bungalow 6, Ronghe Estate, Ghatpimpri Road",AADHAAR-FICT,9999-1056-2104,Cold storage operator,6,FIR-2026-0422
P0203,Ruksana Mirajkar,R. Mirajkar|Rukhsana Mirajkar,1989-07-16,F,"Flat 3B, Shrivardhan Apartments, Nandanvan",PAN-FICT,ZZJPZ9009Z,Warehouse supervisor,8,FIR-2026-0409
P0204,Sameer Tandalekar,S. Tandalekar|Samir Tandalekar,1992-02-24,M,"Q-14, Transport Nagar Quarters, Ghatpimpri",VOTERID-FICT,ZZX7000370,Truck driver,7,FIR-2026-0409
P0205,Tejpal Ghorpadkar,T. Ghorpadkar|Tejpal G.,1986-10-01,M,"Flat 3B, Shrivardhan Apartments, Nandanvan",DL-FICT,MP-FICT-2016-101001,Truck driver,7,FIR-2026-0417
P0206,Vipin Sadhwani,V. Sadhwani|Vipin K. Sadhwani,1975-01-18,M,"Shop 44, Vashisht Market, First Floor",AADHAAR-FICT,9999-1084-2156,Wholesale trader,7,FIR-2026-0417
P0207,Chetan Barguje,C. Barguje|Chetan B.,1996-06-30,M,"19, Kaveri Depot Workers Colony",PAN-FICT,ZZNPZ9013Z,Loader / daily wage,8,FIR-2026-0422
P0301,Meghna Purandarkar,M. Purandarkar|Meghna P.,1995-09-09,F,"502, Sanmitra Residency Apartments, Tilakwadi",VOTERID-FICT,ZZX7000518,BPO team lead (night shift),4,
P0302,Aslam Chinchvadkar,A. Chinchvadkar|Aslam C.,1968-03-03,M,"Farmhouse Plot 2, Ganjbasoda Outer Ring",DL-FICT,MP-FICT-2020-101365,Farmer (retired),3,
P0303,Harsh Vadnere,H. Vadnere|Harsh V.,1998-12-12,M,"Flat 3B, Shrivardhan Apartments, Nandanvan",AADHAAR-FICT,9999-1112-2208,Software support engineer,4,FIR-2026-0396
P0304,Nutan Belsare,N. Belsare,1983-05-25,F,"88, Devgiri Colony, Phase 1",PAN-FICT,ZZRPZ9017Z,Boutique owner,4,
P0305,Farid Dongarkar,F. Dongarkar|Farid D.,1990-08-07,M,"14, Chhota Bazaar Lane 3",VOTERID-FICT,ZZX7000666,Scrap dealer,3,
P0306,Sarika Ambekar,S. Ambekar,1994-04-15,F,"6, Purana Peth Extension",DL-FICT,MP-FICT-2024-101729,Schoolteacher,2,
P0401,Digvijay Vaidyanathan,D. Vaidyanathan,1987-02-27,M,"203, Sahastradhara Enclave",AADHAAR-FICT,9999-1140-2260,Shopkeeper,0,FIR-2026-0428
P0402,Sulabha Ambulge,,1966-05-27,F,"88, Chhota Bazaar",PAN-FICT,ZZVPZ9021Z,Government clerk,1,
P0403,Imtiaz Lonkar,I. Lonkar,1983-08-07,M,"133, Chhota Bazaar",VOTERID-FICT,ZZX7000814,Plumber,1,
P0404,Sulabha Chaudhari,S. Chaudhari,1964-10-28,F,"42, Vashisht Market Road",DL-FICT,MP-FICT-2018-102093,Milk supplier,0,FIR-2026-0379
P0405,Madhuri Kanhere,,1988-05-19,F,"68, Vashisht Market Road",AADHAAR-FICT,9999-1168-2312,Carpenter,2,
P0406,Dattatray Deolalikar,D. Deolalikar,1972-12-22,M,"217, Ganjbasoda Lane",PAN-FICT,ZZZPZ9025Z,Bank clerk,0,FIR-2026-0401
P0407,Shalini Kharpude,,1999-11-24,F,"8, Ghatpimpri Road",VOTERID-FICT,ZZX7000962,Photographer,2,
P0408,Kirti Muglikar,,1998-04-21,F,"88, Nandanvan West",DL-FICT,MP-FICT-2022-102457,Data entry operator,2,
P0409,Manisha Kanhere,M. Kanhere,1989-07-26,F,"171, Nandanvan East",AADHAAR-FICT,9999-1196-2364,Lab technician,1,FIR-2026-0396
P0410,Kalyani Kanhere,,1966-02-08,F,"161, Ganjbasoda Lane",PAN-FICT,ZZDPZ9029Z,Security guard,1,
P0411,Manisha Padhye,M. Padhye,1993-11-19,F,"57, Devgiri Colony",VOTERID-FICT,ZZX7001110,Lab technician,1,FIR-2026-0379
P0412,Sachin Kanhere,,1983-08-14,M,"141, Transport Nagar Quarters",DL-FICT,MP-FICT-2016-102821,Pharmacist,0,
