phone_id,number,owner_person_id,sim_registered_name,activation_date,status
PH0001,+919000011012,P0101,Devanshu Kalgutkar,2024-06-04,ACTIVE
PH0002,+919000011145,P0102,Ritambhara Nagvekar,2024-07-28,ACTIVE
PH0003,+919000011238,P0103,Amrapali Deshkulkarni,2024-01-11,ACTIVE
PH0004,+919000011376,P0104,Pravin Attarde,2024-09-22,ACTIVE
PH0005,+919000011482,P0105,Suhail Barkatpuri,2024-03-21,ACTIVE
PH0006,+919000011593,P0106,Nilesh Wagholikar,2024-10-20,ACTIVE
PH0007,+919000011644,P0107,Jayendra Mokashi,2024-05-02,ACTIVE
PH0008,+919000014417,P0201,Ishaan Talpade,2024-05-21,ACTIVE
PH0009,+919000014503,P0202,Bhargav Ronghe,2024-10-17,ACTIVE
PH0010,+919000014661,P0203,Ruksana Mirajkar,2024-08-22,ACTIVE
PH0011,+919000014892,P0204,Sameer Tandalekar,2024-08-23,ACTIVE
PH0012,+919000014907,P0205,Tejpal Ghorpadkar,2024-07-21,ACTIVE
PH0013,+919000015014,P0206,Vipin Sadhwani,2024-01-19,ACTIVE
PH0014,+919000015123,P0207,Chetan Barguje,2024-11-21,ACTIVE
PH0015,+919000016201,P0301,Meghna Purandarkar,2024-08-18,ACTIVE
PH0016,+919000016288,P0302,Aslam Chinchvadkar,2024-08-07,ACTIVE
PH0017,+919000016340,P0303,Harsh Vadnere,2024-09-01,ACTIVE
PH0018,+919000016412,P0304,Nutan Belsare,2024-11-25,ACTIVE
PH0019,+919000016503,P0305,Farid Dongarkar,2024-12-02,ACTIVE
PH0020,+919000016577,P0306,Sarika Ambekar,2024-03-18,ACTIVE
PH0021,+919000014420,P0201,Amrapali Deshkulkarni,2026-02-11,ACTIVE
PH0022,+919000011701,P0101,Chetan Barguje,2026-01-28,ACTIVE
PH0023,+919000015240,P0202,Rameshwar Godbole (unverified walk-in KYC),2026-02-03,ACTIVE
PH0024,+919000011809,P0104,Pravin Attarde,2025-09-14,ACTIVE
PH0025,+919000015377,P0206,Sadhwani Trading Co. (corporate SIM),2025-06-02,ACTIVE
PH0026,+919000014988,P0204,Sameer Tandalekar,2025-11-19,SUSPENDED
PH0027,+919000017001,P0401,Digvijay Vaidyanathan,2024-01-11,ACTIVE
PH0028,+919000017004,P0402,Sulabha Ambulge,2024-01-20,ACTIVE
PH0029,+919000017007,P0403,Imtiaz Lonkar,2020-10-28,ACTIVE
PH0030,+919000017010,P0404,Sulabha Chaudhari,2023-12-14,ACTIVE
PH0031,+919000017013,P0405,Madhuri Kanhere,2020-01-23,ACTIVE
PH0032,+919000017016,P0406,Dattatray Deolalikar,2019-08-15,ACTIVE
PH0033,+919000017019,P0407,Shalini Kharpude,2024-03-26,ACTIVE
PH0034,+919000017022,P0408,Kirti Muglikar,2020-06-19,ACTIVE
PH0035,+919000017025,P0409,Manisha Kanhere,2025-05-03,ACTIVE
PH0036,+919000017028,P0410,Kalyani Kanhere,2022-08-15,ACTIVE
PH0037,+919000017031,P0411,Manisha Padhye,2021-07-11,ACTIVE
PH0038,+919000017034,P0412,Sachin Kanhere,2023-12-12,ACTIVE
PH0039,+919000017037,P0413,Ritesh Wanjarkhede,2025-03-24,ACTIVE
PH0040,+919000017040,P0414,Pooja Ranmale,2021-06-09,ACTIVE
PH0041,+919000017043,P0415,Rutuja Bhandarkar,2021-06-02,ACTIVE
PH0042,+919000017046,P0416,Rupesh Barhate,2022-11-14,ACTIVE
PH0043,+919000017049,P0417,Sudhir Yeolekar,2022-08-07,ACTIVE
PH0044,+919000017052,P0418,Omkar Bhosalekar,2020-10-08,ACTIVE
PH0045,+919000017055,P0419,Ayesha Kharpude,2019-12-07,ACTIVE
PH0046,+919000017058,P0420,Sulabha Lonkar,2024-08-02,ACTIVE
PH0047,+919000017061,P0421,Shalini Rasal,2023-12-11,ACTIVE
PH0048,+919000017064,P0422,Vaishali Kambale,2019-11-03,ACTIVE
PH0049,+919000017067,P0423,Shrikant Yeolekar,2023-12-18,ACTIVE
PH0050,+919000017070,P0424,Trupti Tarnekar,2019-06-17,ACTIVE
PH0051,+919000017073,P0425,Nitin Nagarkar,2020-09-08,ACTIVE
PH0052,+919000017076,P0426,Vaibhav Tarnekar,2022-10-25,ACTIVE
PH0053,+919000017079,P0427,Vaibhav Bhoyar,2020-10-23,ACTIVE
PH0054,+919000017082,P0428,Vaishali Mundhe,2019-04-20,ACTIVE
PH0055,+919000017085,P0429,Kalyani Bhoyar,2021-06-27,ACTIVE
PH0056,+919000017088,P0430,Kartik Gaikwade,2023-05-18,ACTIVE
PH0057,+919000017091,P0431,Ritesh Ghugarkar,2025-04-15,ACTIVE
PH0058,+919000017094,P0432,Ashwin Jhalke,2023-03-12,ACTIVE
PH0059,+919000017097,P0433,Madhuri Mundhe,2022-07-02,ACTIVE
PH0060,+919000017100,P0434,Ritesh Ambulge,2023-06-28,ACTIVE
PH0061,+919000017103,P0435,Mahendra Bhosalekar,2019-01-21,ACTIVE
PH0062,+919000017106,P0436,Nandini Tarnekar,2020-04-23,ACTIVE
PH0063,+919000017109,P0437,Manisha Ranmale,2021-09-09,ACTIVE
PH0064,+919000017112,P0438,Pooja Vaidyanathan,2023-11-02,ACTIVE
PH0065,+919000017115,P0439,Anjali Lonkar,2023-04-17,ACTIVE
PH0066,+919000017118,P0440,Ganesh Kanhere,2021-01-16,ACTIVE
PH0067,+919000017121,P0441,Firdaus Zirpe,2022-07-22,ACTIVE
PH0068,+919000017124,P0442,Shrikant Mundhe,2022-12-03,ACTIVE
PH0069,+919000017127,P0443,Shalini Hivarkar,2021-03-16,ACTIVE
PH0070,+919000017130,P0444,Ashwin Pimparkar,2021-05-26,ACTIVE
PH0071,+919000017133,P0445,Firdaus Nemade,2025-10-28,ACTIVE
PH0072,+919000017136,P0446,Manisha Salunkhewar,2021-08-07,ACTIVE
PH0073,+919000017139,P0447,Vaibhav Ambulge,2021-05-22,ACTIVE
PH0074,+919000017142,P0448,Pooja Mundhe,2021-12-18,ACTIVE
PH0075,+919000017145,P0449,Kunal Tarnekar,2024-02-17,ACTIVE
PH0076,+919000017148,P0450,Yogesh Pimparkar,2023-07-02,ACTIVE
PH0077,+919000017151,P0451,Yogesh Nemade,2019-02-11,ACTIVE
PH0078,+919000017154,P0452,Madhuri Nagarkar,2021-01-06,ACTIVE
PH0079,+919000017157,P0453,Anil Nemade,2019-01-13,ACTIVE
PH0080,+919000017160,P0454,Shalini Kharpude,2025-02-15,ACTIVE
PH0081,+919000017163,P0455,Sudhir Nagarkar,2022-02-20,ACTIVE
PH0082,+919000018546,P0405,Madhuri Kanhere,2025-10-06,ACTIVE
PH0083,+919000018623,P0430,Kartik Gaikwade,2025-07-27,ACTIVE
PH0084,+919000018855,P0455,Sudhir Nagarkar,2025-07-06,ACTIVE
PH0085,+919000018793,P0445,Firdaus Nemade,2025-04-01,ACTIVE
PH0086,+919000018465,P0450,Yogesh Pimparkar,2025-12-03,ACTIVE
PH0087,+919000018429,P0446,Manisha Salunkhewar,2025-01-23,ACTIVE
