vehicle_id,registration_number,owner_person_id,make_model,color,registration_date,registered_address
V001,MP09TJ4471,P0203,Tata 1109 LPT truck,White,2023-02-14,"Flat 3B, Shrivardhan Apartments, Nandanvan"
V002,MP09QR2208,P0202,Ashok Leyland Ecomet truck,Blue,2021-08-30,"Bungalow 6, Ronghe Estate, Ghatpimpri Road"
V003,MP09HK7756,P0204,Mahindra Bolero Pickup,Silver,2022-11-05,"Q-14, Transport Nagar Quarters, Ghatpimpri"
V004,MP09LD3390,P0207,Bajaj Pulsar 150 motorcycle,Black,2024-06-19,"19, Kaveri Depot Workers Colony"
V005,MP09BN1142,P0201,Maruti Ertiga,Grey,2020-03-12,"201, Girija Heights, Tilakwadi"
V006,MP09CF8823,P0101,Honda City,Silver,2019-09-27,"12, Tilakwadi Commercial Complex, Block C, Nandanvan West"
V007,MP09EG5507,P0107,Bajaj Maxima cargo auto,Yellow,2022-04-08,"33, Devgiri Colony, Phase 2"
V008,MP09AW9014,P0106,Hyundai i20,White,2023-07-21,"7, Wagholikar Wada, Purana Peth"
V009,MP09MN6635,P0206,Tata Ace,Blue,2021-01-16,"Shop 44, Vashisht Market, First Floor"
V010,MP09PS2274,P0205,TVS Apache motorcycle,Red,2024-02-28,"Flat 3B, Shrivardhan Apartments, Nandanvan"
V011,MP09ZK4408,P0303,Honda Activa scooter,Grey,2025-05-06,"Flat 3B, Shrivardhan Apartments, Nandanvan"
V012,MP09DR1187,P0302,Mahindra Scorpio,Black,2018-10-30,"Farmhouse Plot 2, Ganjbasoda Outer Ring"
V013,MP09FT7791,P0301,Maruti Alto,Blue,2024-09-11,"502, Sanmitra Residency Apartments, Tilakwadi"
V014,MP09GH3326,P0405,Hero Splendor motorcycle,Black,2022-06-02,"68, Vashisht Market Road"
V015,MP09JV8850,P0412,Maruti Swift,Red,2020-12-15,"141, Transport Nagar Quarters"
V016,MP09KP1963,P0421,Tata Nexon,White,2025-01-20,"174, Nandanvan West"
V017,MP09NB5542,P0433,Bajaj Chetak scooter,Blue,2023-11-09,"124, Nandanvan East"
V018,MP09RC2039,P0447,Toyota Innova,Silver,2017-03-25,"68, Nandanvan West"
V019,MP09SD6614,P0102,Maruti Baleno,Grey,2022-09-14,"4/B Sahastradhara Enclave, Vashisht Market Road"
V020,MP09UF9925,P0105,Mahindra XUV300,Blue,2024-04-18,"Flat 12, Ameena Manzil, Chhota Bazaar"
